=======Début heuristique=======
Ordre :  [15 14  4  6 19  7  0  5 19 16  3  1  6 16  0 19 16 16  4  7  4  3  6  5
  0  4 16  6  7 14 11 19  3  8  6 10  5  7  0  3 15  7 18 19 10 13  3  0
 10  1 15 11  5 10 12 11 18  5  1 15  9 10 18 15 14 11 17  1  2  8 11 14
 13  1  9 14 17  4 18 12  2 13  9 17  8 12 12 18  8  2  9 13  8 17  2  9
  2 12 17 13]
Durée :  1268
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 1267
Meilleur temps trouvé : 1266
Meilleur temps trouvé : 1265
Convergence terminée
Descente directe :  [14  4  6 19 16  0  5 19 16  3  1  6 16  0 19 16 16  4  7  4  3  6  5  0
  4  7  6  7 14 11 19  3  8  6 15 10  5  7  0  3 15  7 18 19 10 13  3  0
 10  1 15 11  5 10 12 11 18  5  1 15  9 10 18 15 14 11 17  1  2  8 11 14
 13  1  9 14 17  4 18 12  2 13  9 17  8 12 13 12 18  8  2  9 13  8 17  2
  9  2 12 17]
Durée :  1265

=======Début exploration génétique=======
Iteration : 6500, moyenne des durée : 1257.08, durée min : 1257, durée max : 1265
Iteration : 6550, moyenne des durée : 1257.01, durée min : 1257, durée max : 1258
Iteration : 6600, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6650, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6700, moyenne des durée : 1257.03, durée min : 1257, durée max : 1260
Iteration : 6750, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6800, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6850, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6900, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6950, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7000, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7050, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7100, moyenne des durée : 1257.03, durée min : 1257, durée max : 1260
Iteration : 7150, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7200, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7250, moyenne des durée : 1257.05, durée min : 1257, durée max : 1262
Iteration : 7300, moyenne des durée : 1257.79, durée min : 1257, durée max : 1286
Iteration : 7350, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7400, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7450, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7500, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7550, moyenne des durée : 1257.18, durée min : 1257, durée max : 1267
Iteration : 7600, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7650, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7700, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7750, moyenne des durée : 1257.19, durée min : 1257, durée max : 1266
Iteration : 7800, moyenne des durée : 1257.29, durée min : 1257, durée max : 1286
Iteration : 7850, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7900, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 7950, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 8000, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 8050, moyenne des durée : 1257.09, durée min : 1257, durée max : 1266
Iteration : 8100, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 8150, moyenne des durée : 1258.49, durée min : 1257, durée max : 1290
Iteration : 8200, moyenne des durée : 1257.06, durée min : 1257, durée max : 1263
