=======Début heuristique=======
Ordre :  [0 1 9 5 2 4 2 9 8 1 7 4 1 9 5 6 5 2 8 4 9 7 1 6 8 0 2 5 4 7 8 2 0 4 6 5 7
 3 1 6 8 6 0 7 9 0 3 3 3 3]
Durée :  711
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 675
Meilleur temps trouvé : 627
Meilleur temps trouvé : 622
Meilleur temps trouvé : 615
Convergence terminée
Iteration : 7750, moyenne des durée : 615.1, durée min : 611, durée max : 691
Iteration : 7800, moyenne des durée : 617.33, durée min : 611, durée max : 698
Iteration : 7850, moyenne des durée : 612.36, durée min : 611, durée max : 679
Iteration : 7900, moyenne des durée : 615.97, durée min : 611, durée max : 696
Iteration : 7950, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 8000, moyenne des durée : 612.29, durée min : 611, durée max : 662
Iteration : 8050, moyenne des durée : 611.63, durée min : 611, durée max : 643
Iteration : 8100, moyenne des durée : 611.58, durée min : 611, durée max : 662
Iteration : 8150, moyenne des durée : 612.16, durée min : 611, durée max : 663
Iteration : 8200, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 8250, moyenne des durée : 612.82, durée min : 611, durée max : 673
Iteration : 8300, moyenne des durée : 614.45, durée min : 611, durée max : 689
Iteration : 8350, moyenne des durée : 612.27, durée min : 611, durée max : 671
Iteration : 8400, moyenne des durée : 611.88, durée min : 611, durée max : 645
Iteration : 8450, moyenne des durée : 612.01, durée min : 611, durée max : 658
Iteration : 8500, moyenne des durée : 615.63, durée min : 611, durée max : 705
Iteration : 8550, moyenne des durée : 613.98, durée min : 611, durée max : 694
Iteration : 8600, moyenne des durée : 617.93, durée min : 611, durée max : 709
Iteration : 8650, moyenne des durée : 615.19, durée min : 611, durée max : 709
Iteration : 8700, moyenne des durée : 614.93, durée min : 611, durée max : 684
Iteration : 8750, moyenne des durée : 614.17, durée min : 611, durée max : 675
Iteration : 8800, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 8850, moyenne des durée : 625.99, durée min : 611, durée max : 712
Iteration : 8900, moyenne des durée : 611.58, durée min : 611, durée max : 640
Iteration : 8950, moyenne des durée : 616.17, durée min : 611, durée max : 709
Iteration : 9000, moyenne des durée : 613.71, durée min : 611, durée max : 685
Iteration : 9050, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 9100, moyenne des durée : 611.24, durée min : 611, durée max : 621
Iteration : 9150, moyenne des durée : 612.39, durée min : 611, durée max : 677
Iteration : 9200, moyenne des durée : 611.03, durée min : 611, durée max : 614
Iteration : 9250, moyenne des durée : 613.03, durée min : 611, durée max : 675
Iteration : 9300, moyenne des durée : 614.67, durée min : 611, durée max : 698
Iteration : 9350, moyenne des durée : 616.45, durée min : 611, durée max : 694
Iteration : 9400, moyenne des durée : 614.0, durée min : 611, durée max : 682
Iteration : 9450, moyenne des durée : 611.04, durée min : 611, durée max : 615
Iteration : 9500, moyenne des durée : 612.26, durée min : 611, durée max : 661
Iteration : 9550, moyenne des durée : 611.81, durée min : 611, durée max : 651Ouverture dans une session de navigateur existante.

Iteration : 9600, moyenne des durée : 611.59, durée min : 611, durée max : 670
Iteration : 9650, moyenne des durée : 611.1, durée min : 611, durée max : 615
Iteration : 9700, moyenne des durée : 613.13, durée min : 611, durée max : 673
Iteration : 9750, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 9800, moyenne des durée : 611.03, durée min : 611, durée max : 614
Iteration : 9850, moyenne des durée : 611.15, durée min : 611, durée max : 623
Iteration : 9900, moyenne des durée : 611.59, durée min : 611, durée max : 645
Iteration : 9950, moyenne des durée : 616.36, durée min : 611, durée max : 709
Optimum non trouvé après 9999 itérations
Temps :  931.1688270568848
Durée final 611
Ordre final [0 4 8 5 2 4 2 9 8 1 7 4 1 9 5 6 5 2 8 2 7 1 6 8 0 2 5 1 7 9 0 3 4 6 5 7 3
 1 6 8 0 6 3 7 9 3 3 0 9 4]
