=======Début heuristique=======
Ordre :  [4 0 6 5 4 1 4 4 0 6 7 6 8 1 5 5 3 4 7 4 5 0 6 8 6 3 4 1 6 4 6 0 5 7 8 3 4
 7 9 6 0 3 1 4 0 1 5 9 8 2 6 9 0 5 8 7 1 9 0 3 9 6 2 5 8 9 0 5 1 5 2 3 8 1
 2 0 3 7 9 2 9 1 9 3 2 7 7 2 1 2 8 3 3 8 7 2 8 9 7 2]
Durée :  1068
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 1040
Meilleur temps trouvé : 1017
Convergence terminée
Descente directe :  [4 0 6 5 4 6 1 4 4 0 6 7 6 8 1 5 5 3 4 7 4 5 0 6 8 6 3 4 1 6 4 6 0 5 7 8 3
 4 7 9 6 0 3 1 4 0 1 5 9 8 2 6 9 0 5 8 7 1 9 0 3 9 2 5 8 9 0 5 8 5 2 3 8 1
 2 0 3 7 9 2 9 1 9 3 2 7 7 2 1 2 8 3 3 8 7 2 1 9 7 2]
Durée :  1017

=======Début exploration génétique=======
Iteration : 9000, moyenne des durée : 1017.7, durée min : 1017, durée max : 1051
Iteration : 9050, moyenne des durée : 1017.22, durée min : 1017, durée max : 1035
Iteration : 9100, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 9150, moyenne des durée : 1017.31, durée min : 1017, durée max : 1037
Iteration : 9200, moyenne des durée : 1017.08, durée min : 1017, durée max : 1025
Iteration : 9250, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 9300, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 9350, moyenne des durée : 1021.36, durée min : 1017, durée max : 1084Ouverture dans une session de navigateur existante.

Iteration : 9400, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 9450, moyenne des durée : 1017.19, durée min : 1017, durée max : 1036
Iteration : 9500, moyenne des durée : 1017.04, durée min : 1017, durée max : 1021
Iteration : 9550, moyenne des durée : 1018.31, durée min : 1017, durée max : 1074
Iteration : 9600, moyenne des durée : 1017.95, durée min : 1017, durée max : 1070
Iteration : 9650, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 9700, moyenne des durée : 1017.89, durée min : 1017, durée max : 1066
Iteration : 9750, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 9800, moyenne des durée : 1017.46, durée min : 1017, durée max : 1043
Iteration : 9850, moyenne des durée : 1018.09, durée min : 1017, durée max : 1055
Iteration : 9900, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 9950, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Optimum non trouvé après 9999 itérations
Temps :  1575.2485115528107
Durée final 1017
Ordre final [4 0 6 5 4 6 1 4 4 0 6 7 6 8 1 5 5 3 4 7 4 5 0 6 8 6 3 4 1 6 4 6 0 5 7 8 3
 4 7 9 6 0 3 1 4 0 1 5 9 8 2 6 9 0 5 8 7 1 9 0 3 9 2 5 8 9 0 5 8 5 2 3 8 1
 2 0 3 7 9 2 9 1 9 3 2 7 7 2 1 2 8 3 3 8 7 2 1 9 7 2]
