=======Début heuristique=======
Ordre :  [1 7 0 5 4 2 8 3 0 1 6 9 7 8 4 7 0 2 5 0 8 3 7 6 4 8 3 1 3 5 4 7 2 6 8 0 4
 6 0 3 2 7 9 1 3 2 3 8 5 7 9 4 1 6 5 7 8 8 0 3 4 2 1 8 9 7 3 5 9 4 2 0 2 7
 6 3 6 9 9 1 5 8 2 4 0 6 9 5 0 6 9 1 6 5 9 2 1 5 4 1]
Durée :  940
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 909
Convergence terminée
Iteration : 8300, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 8350, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 8400, moyenne des durée : 902.61, durée min : 900, durée max : 974
Iteration : 8450, moyenne des durée : 900.4, durée min : 900, durée max : 918
Iteration : 8500, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 8550, moyenne des durée : 900.43, durée min : 900, durée max : 921
Iteration : 8600, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 8650, moyenne des durée : 900.01, durée min : 900, durée max : 901
Iteration : 8700, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 8750, moyenne des durée : 900.82, durée min : 900, durée max : 947
Iteration : 8800, moyenne des durée : 900.17, durée min : 900, durée max : 917
Iteration : 8850, moyenne des durée : 901.66, durée min : 900, durée max : 950
Iteration : 8900, moyenne des durée : 903.49, durée min : 900, durée max : 990
Iteration : 8950, moyenne des durée : 900.23, durée min : 900, durée max : 923
Iteration : 9000, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9050, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9100, moyenne des durée : 901.33, durée min : 900, durée max : 955
Iteration : 9150, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9200, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9250, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9300, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9350, moyenne des durée : 901.58, durée min : 900, durée max : 948
Iteration : 9400, moyenne des durée : 900.0, durée min : 900, durée max : 900Ouverture dans une session de navigateur existante.

Iteration : 9450, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9500, moyenne des durée : 900.0, durée min : 900, durée max : 900
